RE+1_R2_CH25_A ,  distance to beam line  = 435.186, distance to beam line max = 461.936, eta min = 1.23524, eta max = 1.34109, phi min = -2.17907, phi max = -2.00972 OK
RE+1_R2_CH25_B ,  distance to beam line  = 382.877, distance to beam line max = 407.377, eta min = 1.34323, eta max = 1.45687, phi min = -2.17909, phi max = -2.0097 OK
RE+1_R2_CH25_C ,  distance to beam line  = 317.686, distance to beam line max = 357.386, eta min = 1.45939, eta max = 1.69033, phi min = -2.17912, phi max = -2.00967 OK
RE-1_R3_CH25_A ,  distance to beam line  = 661.304, distance to beam line max = 681.454, eta min = -0.92056, eta max = -0.965453, phi min = -2.00984, phi max = -2.17895 OK
RE-1_R3_CH25_B ,  distance to beam line  = 602.273, distance to beam line max = 640.223, eta min = -0.966619, eta max = -1.06346, phi min = -2.00984, phi max = -2.17895 OK
RE-1_R3_CH25_C ,  distance to beam line  = 535.327, distance to beam line max = 563.327, eta min = -1.06486, eta max = -1.14891, phi min = -2.00984, phi max = -2.17895 OK
RE+1_R3_CH25_A ,  distance to beam line  = 661.304, distance to beam line max = 681.454, eta min = 0.92056, eta max = 0.965453, phi min = -2.17895, phi max = -2.00984 OK
RE+1_R3_CH25_B ,  distance to beam line  = 602.273, distance to beam line max = 640.223, eta min = 0.966619, eta max = 1.06346, phi min = -2.17895, phi max = -2.00984 OK
RE+1_R3_CH25_C ,  distance to beam line  = 535.327, distance to beam line max = 563.327, eta min = 1.06486, eta max = 1.14891, phi min = -2.17895, phi max = -2.00984 OK
RE-1_R2_CH31_A ,  distance to beam line  = 435.186, distance to beam line max = 461.936, eta min = -1.23524, eta max = -1.34109, phi min = -0.962522, phi max = -1.13187 OK
RE-1_R2_CH31_B ,  distance to beam line  = 382.877, distance to beam line max = 407.377, eta min = -1.34323, eta max = -1.45687, phi min = -0.962503, phi max = -1.13189 OK
RE-1_R2_CH31_C ,  distance to beam line  = 317.686, distance to beam line max = 357.386, eta min = -1.45939, eta max = -1.69033, phi min = -0.962469, phi max = -1.13193 OK
RE+1_R2_CH31_A ,  distance to beam line  = 435.186, distance to beam line max = 461.936, eta min = 1.23524, eta max = 1.34109, phi min = -1.13187, phi max = -0.962522 OK
RE+1_R2_CH31_B ,  distance to beam line  = 382.877, distance to beam line max = 407.377, eta min = 1.34323, eta max = 1.45687, phi min = -1.13189, phi max = -0.962503 OK
RE+1_R2_CH31_C ,  distance to beam line  = 317.686, distance to beam line max = 357.386, eta min = 1.45939, eta max = 1.69033, phi min = -1.13193, phi max = -0.962469 OK
RE-1_R3_CH31_A ,  distance to beam line  = 661.304, distance to beam line max = 681.454, eta min = -0.92056, eta max = -0.965453, phi min = -0.962646, phi max = -1.13175 OK
RE-1_R3_CH31_B ,  distance to beam line  = 602.273, distance to beam line max = 640.223, eta min = -0.966619, eta max = -1.06346, phi min = -0.962647, phi max = -1.13175 OK
RE-1_R3_CH31_C ,  distance to beam line  = 535.327, distance to beam line max = 563.327, eta min = -1.06486, eta max = -1.14891, phi min = -0.962647, phi max = -1.13175 OK
RE+1_R3_CH31_A ,  distance to beam line  = 661.304, distance to beam line max = 681.454, eta min = 0.92056, eta max = 0.965453, phi min = -1.13175, phi max = -0.962646 OK
RE+1_R3_CH31_B ,  distance to beam line  = 602.273, distance to beam line max = 640.223, eta min = 0.966619, eta max = 1.06346, phi min = -1.13175, phi max = -0.962647 OK
RE+1_R3_CH31_C ,  distance to beam line  = 535.327, distance to beam line max = 563.327, eta min = 1.06486, eta max = 1.14891, phi min = -1.13175, phi max = -0.962647 OK
RE+1_R1_CH02_A ,  distance to beam line  = 223.988, distance to beam line max = 242.038, eta min = 1.59305, eta max = 1.74339, phi min = 0.0899861, phi max = 0.25908 OK
RE+1_R1_CH02_B ,  distance to beam line  = 192.96, distance to beam line max = 204.96, eta min = 1.74797, eta max = 1.86593, phi min = 0.0899869, phi max = 0.259079 OK
RE+1_R1_CH02_C ,  distance to beam line  = 170.069, distance to beam line max = 180.069, eta min = 1.87121, eta max = 1.9841, phi min = 0.0899836, phi max = 0.259082 OK
RE+1_R1_CH02_D ,  distance to beam line  = 147.971, distance to beam line max = 158.971, eta min = 1.99014, eta max = 2.13431, phi min = 0.0899857, phi max = 0.25908 OK
RE-1_R2_CH02_A ,  distance to beam line  = 435.186, distance to beam line max = 461.936, eta min = -1.19862, eta max = -1.30322, phi min = 0.0898576, phi max = 0.259208 OK
RE-1_R2_CH02_B ,  distance to beam line  = 382.877, distance to beam line max = 407.377, eta min = -1.30534, eta max = -1.41788, phi min = 0.0898389, phi max = 0.259227 OK
RE-1_R2_CH02_C ,  distance to beam line  = 317.686, distance to beam line max = 357.386, eta min = -1.42037, eta max = -1.64965, phi min = 0.0898044, phi max = 0.259261 OK
RE+1_R2_CH02_A ,  distance to beam line  = 435.186, distance to beam line max = 461.936, eta min = 1.19862, eta max = 1.30322, phi min = 0.259208, phi max = 0.0898576 OK
RE+1_R2_CH02_B ,  distance to beam line  = 382.877, distance to beam line max = 407.377, eta min = 1.30534, eta max = 1.41788, phi min = 0.259227, phi max = 0.0898389 OK
RE+1_R2_CH02_C ,  distance to beam line  = 317.686, distance to beam line max = 357.386, eta min = 1.42037, eta max = 1.64965, phi min = 0.259261, phi max = 0.0898044 OK
RE-1_R3_CH02_A ,  distance to beam line  = 661.304, distance to beam line max = 681.454, eta min = -0.916114, eta max = -0.96088, phi min = 0.259085, phi max = 0.0899813 OK
RE-1_R3_CH02_B ,  distance to beam line  = 602.273, distance to beam line max = 640.223, eta min = -0.962043, eta max = -1.05864, phi min = 0.259084, phi max = 0.089982 OK
RE-1_R3_CH02_C ,  distance to beam line  = 535.327, distance to beam line max = 563.327, eta min = -1.06004, eta max = -1.1439, phi min = 0.259083, phi max = 0.0899825 OK
RE+1_R3_CH02_A ,  distance to beam line  = 661.304, distance to beam line max = 681.454, eta min = 0.916114, eta max = 0.96088, phi min = 0.0899813, phi max = 0.259085 OK
RE+1_R3_CH02_B ,  distance to beam line  = 602.273, distance to beam line max = 640.223, eta min = 0.962043, eta max = 1.05864, phi min = 0.089982, phi max = 0.259084 OK
RE+1_R3_CH02_C ,  distance to beam line  = 535.327, distance to beam line max = 563.327, eta min = 1.06004, eta max = 1.1439, phi min = 0.0899825, phi max = 0.259083 OK
RE-1_R2_CH08_A ,  distance to beam line  = 435.186, distance to beam line max = 461.936, eta min = -1.19862, eta max = -1.30322, phi min = 1.13706, phi max = 1.30641 OK
RE-1_R2_CH08_B ,  distance to beam line  = 382.877, distance to beam line max = 407.377, eta min = -1.30534, eta max = -1.41788, phi min = 1.13704, phi max = 1.30642 OK
RE-1_R2_CH08_C ,  distance to beam line  = 317.686, distance to beam line max = 357.386, eta min = -1.42037, eta max = -1.64965, phi min = 1.137, phi max = 1.30646 OK
RE+1_R2_CH08_A ,  distance to beam line  = 435.186, distance to beam line max = 461.936, eta min = 1.19862, eta max = 1.30322, phi min = 1.30641, phi max = 1.13706 OK
RE+1_R2_CH08_B ,  distance to beam line  = 382.877, distance to beam line max = 407.377, eta min = 1.30534, eta max = 1.41788, phi min = 1.30642, phi max = 1.13704 OK
RE+1_R2_CH08_C ,  distance to beam line  = 317.686, distance to beam line max = 357.386, eta min = 1.42037, eta max = 1.64965, phi min = 1.30646, phi max = 1.137 OK
RE-1_R3_CH08_A ,  distance to beam line  = 661.304, distance to beam line max = 681.454, eta min = -0.916114, eta max = -0.960881, phi min = 1.30628, phi max = 1.13718 OK
RE-1_R3_CH08_B ,  distance to beam line  = 602.273, distance to beam line max = 640.223, eta min = -0.962043, eta max = -1.05864, phi min = 1.30628, phi max = 1.13718 OK
RE-1_R3_CH08_C ,  distance to beam line  = 535.327, distance to beam line max = 563.327, eta min = -1.06004, eta max = -1.1439, phi min = 1.30628, phi max = 1.13718 OK
RE+1_R3_CH08_A ,  distance to beam line  = 661.304, distance to beam line max = 681.454, eta min = 0.916114, eta max = 0.960881, phi min = 1.13718, phi max = 1.30628 OK
RE+1_R3_CH08_B ,  distance to beam line  = 602.273, distance to beam line max = 640.223, eta min = 0.962043, eta max = 1.05864, phi min = 1.13718, phi max = 1.30628 OK
RE+1_R3_CH08_C ,  distance to beam line  = 535.327, distance to beam line max = 563.327, eta min = 1.06004, eta max = 1.1439, phi min = 1.13718, phi max = 1.30628 OK
RE-1_R2_CH14_A ,  distance to beam line  = 435.186, distance to beam line max = 461.936, eta min = -1.19862, eta max = -1.30322, phi min = 2.18425, phi max = 2.3536 OK
RE-1_R2_CH14_B ,  distance to beam line  = 382.877, distance to beam line max = 407.377, eta min = -1.30534, eta max = -1.41788, phi min = 2.18423, phi max = 2.35362 OK
RE-1_R2_CH14_C ,  distance to beam line  = 317.686, distance to beam line max = 357.386, eta min = -1.42037, eta max = -1.64965, phi min = 2.1842, phi max = 2.35366 OK
RE+1_R2_CH14_A ,  distance to beam line  = 435.186, distance to beam line max = 461.936, eta min = 1.19862, eta max = 1.30322, phi min = 2.3536, phi max = 2.18425 OK
RE+1_R2_CH14_B ,  distance to beam line  = 382.877, distance to beam line max = 407.377, eta min = 1.30534, eta max = 1.41788, phi min = 2.35362, phi max = 2.18423 OK
RE+1_R2_CH14_C ,  distance to beam line  = 317.686, distance to beam line max = 357.386, eta min = 1.42037, eta max = 1.64965, phi min = 2.35366, phi max = 2.1842 OK
RE-1_R3_CH14_A ,  distance to beam line  = 661.304, distance to beam line max = 681.454, eta min = -0.916114, eta max = -0.96088, phi min = 2.35348, phi max = 2.18438 OK
RE-1_R3_CH14_B ,  distance to beam line  = 602.273, distance to beam line max = 640.223, eta min = -0.962043, eta max = -1.05864, phi min = 2.35348, phi max = 2.18438 OK
RE-1_R3_CH14_C ,  distance to beam line  = 535.327, distance to beam line max = 563.327, eta min = -1.06004, eta max = -1.1439, phi min = 2.35348, phi max = 2.18438 OK
RE+1_R3_CH14_A ,  distance to beam line  = 661.304, distance to beam line max = 681.454, eta min = 0.916114, eta max = 0.96088, phi min = 2.18438, phi max = 2.35348 OK
RE+1_R3_CH14_B ,  distance to beam line  = 602.273, distance to beam line max = 640.223, eta min = 0.962043, eta max = 1.05864, phi min = 2.18438, phi max = 2.35348 OK
RE+1_R3_CH14_C ,  distance to beam line  = 535.327, distance to beam line max = 563.327, eta min = 1.06004, eta max = 1.1439, phi min = 2.18438, phi max = 2.35348 OK
RE-1_R2_CH20_A ,  distance to beam line  = 435.186, distance to beam line max = 461.936, eta min = -1.19862, eta max = -1.30322, phi min = -3.05173, phi max = -2.88238 OK
